2826;Evolution of Chemical Diversity in Inner Disks: Core Accretion and Pebble Inflow;John Carr;12;19.08;MIRI/MRS
2950;Exploring sulfur dioxide in&nbsp:&nbsp:H/He-rich hot gas giant atmospheres;Rens Waters;12;34.38;MIRI/LRS
2961;Vaporized rocks: Detecting silicate cloud precursors in ultra-hot Jupiters;Paul Molliere;12;9.06;MIRI/LRS
2970;The volatile content and C/O ratio of old disks: Constraints on young planet atmospheres;Ilaria Pascucci;12;24.12;MIRI/MRS
2981;Exocometary molecules at the epoch of volatile delivery;Luca Matra;12;1.68;NIRSpec/FS
3034;Building on ALMA: A JWST legacy survey of the chemical evolution of planet-forming disks;Ke Zhang;12;64.48;MIRI/MRS
3077;TRAPPIST-1 Planets: Atmospheres Or Not?;Michael Gillon, Elsa Ducrot;0;71.57;MIRI/Imaging
3087;Reaching ~0.1 arcsec inner working angle for NIRCam Coronagraphic imaging;Bin Ren;0;5.91;NIRCam/Coronagraphy
3153;Why do some 50 Myr old stars still accrete?;Feng Long;12;22.48;MIRI/MRS
3154;Testing the C/O Ratio Prediction for Hot Jupiters from Disk-Free Migration;Eva-Maria Ahrer;12;10.36;NIRSpec/BOTS
3171;Red Dwarfs and the Seven Giants: First Insights into the Atmospheres of Giant Exoplanets around M-dwarf Stars;Shubham Kanodia, Jessica Libby-Roberts and Caleb Canas;0;132.39;NIRSpec/BOTS
3181;Monitor a variable planetary mass companion with NIRSpec IFU;Yifan Zhou;12;15.92;NIRSpec/IFU
3189;The Nature of Mineralogical Dichotomy in Extreme Debris Disks;Kate Su;12;17.61;MIRI/MRS
3201;The Utility of Self-Consistent Models and Photochemistry in Understanding Transiting Planet Atmospheres;Jonathan Fortney;0;0;&nbsp;
3207;Lifting the Veil: An Open Source Haze Model for Exoplanet Atmospheric Characterization;Peter Gao;0;0;&nbsp;
3228;The volatile inventory of the terrestrial planet forming zone: A study of transport from the outer to the inner disk with JWST and ALMA;Ilse Cleeves;12;39.5;MIRI/MRS
3231;Panchromatic Phase Curve of the Highest-S/N Hot Neptune;Ian Crossfield;12;24.98;NIRSpec/BOTS
3235;C,N,O in a Temperate Jupiter: Bridging the Gap Between Solar-System and Exoplanet Atmospheres;Jonathan Fortney;12;23.76;NIRSpec/BOTS
3254;Direct detection of kinematically-detected protoplanet candidates;Myriam Benisty, Richard Teague, Misato Fukagawa, Stefano Facchini, and Christopher Pinte;12;17.84;MIRI/Coronagraphy
3263;The First Atmospheric Study of a Bona Fide Water World;Rafael Luque;12;23.04;NIRSpec/BOTS
3271;Characterizing the End Stage of Exoplanetary Systems;Kate Su;12;19.73;MIRI/Imaging,MIRI/MRS
3273;Eureka!: An Open-Source Pipeline for JWST Time-Series Observations;Kevin Stevenson, Taylor Bell;0;0;&nbsp;
3279;Calibrating NIRISS order 3 for very bright time-series observations with JWST;Jens Hoeijmakers;0;13.15;NIRISS/SOSS
3315;Measuring the Interior Composition of a Terrestrial Planet;Jason Wright, Nick Tusay;12;23.05;MIRI/LRS
3337;Solving a Solar Neighborhood Crime Scene by Imaging 14 Her c;Daniella Bardalez Gagliuffi, William Balmer;12;7.42;NIRCam/Coronagraphy
3385;The first comparative atmospheric study of a Jovian planet and a sub-Neptune in the TOI-1130 system;Chelsea Huang, Andrew Vanderburg;12;29.81;NIRISS/SOSS,NIRSpec/BOTS
3399;An Empirical Calibration of the NIRSpec IFU Point Spread Function to Enable High Contrast Imaging Spectroscopy;Marshall Perrin, Jean-Baptiste Ruffio;0;11.39;NIRSpec/IFU
3514;Panchromatic view of an Adolescent and Frigid Jovian Exoplanet;Mickael Bonnefoy, Caroline Morley and Gael Chauvin;12;8.22;MIRI/LRS,NIRSpec/FS
3522;Spectroscopic characterization of the smallest and coolest directly imaged exoplanet 51 Eridani b;Jean-Baptiste Ruffio;12;11.12;NIRSpec/FS
3557;A JWST Search for Missing Methane;Nikku Madhusudhan;12;67.35;MIRI/LRS,NIRISS/SOSS,NIRSpec/BOTS
3615;Exploring the boundary between rocky and gaseous planets with WASP-47 e;Sebastian Zieba;12;16.56;NIRSpec/BOTS
3621;Confirming a Giant Planet around the White Dwarf GD 140;Alexander Venner, Mary Limbach and Andrew Vanderburg;12;2.37;MIRI/Imaging
3647;GJ504 b is really cool: A new atmospheric window into Jupiter&rsquo:s evolution with JWST/MIRI;Polychronis Patapis, Mathilde Malin;12;10.68;MIRI/MRS
3652;Age and Confirmation of White Dwarf Exoplanet Candidate WD 0141-675b;Mary Limbach, Alexander Venner and Andrew Vanderburg;12;4.22;MIRI/Imaging,NIRSpec/FS
3662;Imaging shepherding and carving planets in debris disks;Anne-Marie Lagrange, Clement Perrot;12;22.93;MIRI/Coronagraphy
3690;The rest of the iceberg: Dusty white dwarfs exposed by JWST;Jay Farihi;0;0;MIRI/LRS
3712;Warm Jupiters Dis-equilibrium and Thermo-chemistry in Transmission Spectroscopy;Patricio Cubillos;12;16.58;MIRI/LRS,NIRSpec/BOTS
3730;The Hot Rocks Survey: Testing 9 Irradiated Terrestrial Exoplanets for Atmospheres;Hannah Diamond-Lowe, Joao Mendonca;0;115.11;MIRI/Imaging
3731;Problem Planets: Understanding the Formation of Giant Planets around Low Mass Stars;Andres Jordan;12;14.05;NIRSpec/BOTS
3784;Mapping the atmosphere or surface of a hot ultra-short-period super Earth;Michael Zhang;12;16.56;NIRSpec/BOTS
3786;Sizing up silicates at six small stars: Characterising planetary debris orbiting white dwarfs;Andrew Swan;12;19.01;MIRI/Imaging,MIRI/LRS,NIRSpec/FS
3818;To be or not to be in equilibrium: Probing disequilibrium chemistry on the warm sub-Neptune TOI-270 d;Cyril Gapp, Luis Welbanks, Dana Louie, Jake Taylor, and Thomas Mikal-Evans;12;7.23;NIRSpec/BOTS
3838;Does atmospheric composition actually trace formation? Observing aligned vs misaligned hot Jupiters as a testbed;James Kirk, Eva-Maria Ahrer;12;49.21;NIRSpec/BOTS
3840;JWST NIRCam Confirmation of the First Directly Imaged Sub-Saturn Mass Exoplanet;Ell Bogat, Joshua Schlieder;12;8.43;NIRCam/Coronagraphy
3860;Phase Curve Observations of TOI-561 b To Study Atmosphere-Interior Exchange;Johanna Teske;12;44.23;NIRSpec/BOTS
3886;Probing carbon chemistry and dust in the planet-forming zones of brown dwarf disks;Sierra Grant;12;41.54;MIRI/MRS
3925;Planets or Giant Collisions in the Fomalhaut Debris Disk System;Charles Beichman;12;6.57;NIRCam/Coronagraphy
3942;Probing the volcanic outgassing activity of a warm sub-Earth planet;Mario Damiano;12;13.14;NIRSpec/BOTS
3947;Testing the Giant Planet Hypothesis for Spiral-driven Arms in Protoplanetary Disks;Brendan Bowler;12;19.58;NIRCam/Coronagraphy
3962;A NIRSpec pilot program on planet-forming disks around very-low mass stars;Benoit Tabone;12;5.62;NIRSpec/IFU
3969;Hot Jupiter Atmospheric Forecast: Are mornings cloudier than evenings in other worlds?;Nestor Espinoza, Diana Powell;12;61.53;NIRSpec/BOTS
3973;Using planets to dynamically weigh a debris disc for the first time;Timothy Pearce, Elisabeth Matthews;12;8.03;NIRCam/Coronagraphy,NIRCam/Imaging
3983;Searching for Evidence of&nbsp:&nbsp:EUV Photoevaporation in Actively Dispersing Protoplanetary Disks;Thanawuth Thanathibodee, Catherine Espaillat;12;26.71;MIRI/MRS
3989;Spotting the Perturbers: A Coronagraphic Survey of Debris Disk Stars with Common Proper Motion Anomalies;Sasha Hinkley, Cecilia Lazzoni and Sebastian Marino;12;24.83;NIRCam/Coronagraphy
4008;The search for regolith on the airless exoplanet LHS 3844 b;Sebastian Zieba;12;18.64;NIRSpec/BOTS
4014;Imaging Planet Formation at its Earliest Stages: Measuring The Extinction Level of an Enshrouded Protoplanet;Kevin Wagner;12;3.55;NIRCam/Coronagraphy
4050;Uncharted Worlds: Towards a Legacy of Direct Imaging of Sub-Jupiter Mass Exoplanets;Aarynn Carter;12;45.73;NIRCam/Coronagraphy
4082;Putting it all Together: Dynamics and Chemistry Probed Through Transmission Spectroscopy of a Cloud-Free Exoplanet;Michael Radica, Jake Taylor;12;6.69;NIRSpec/BOTS
4090;Follow the trace: Direct detection of a dynamically ejected young planet outside a circumbinary disk;Christian Ginski, Julien Girard;12;4.57;NIRCam/Coronagraphy
4098;Exploring the existence and diversity of volatile-rich water worlds;Bjorn Benneke, Thomas Mikal-Evans;0;82;NIRISS/SOSS,NIRSpec/BOTS
4102;Hydrogen-rich sub-Neptune or exposed Neptune mantle? Confirming the nature of the most favorable sub-Neptune for JWST emission spectroscopy;Pierre-Alexis Roy, Bjorn Benneke;12;13.38;NIRSpec/BOTS
4105;Not Your Normal Neptune: Exploring the Chemical Processes at Play in HAT-P-11b;Lili Alderson, Charlotte Fairman;12;14.22;NIRSpec/BOTS
4126;TOI-125: Comparative Atmospheric Chemistry Within One System;Chloe Fisher;12;19.82;NIRSpec/BOTS
4195;Constraining the Oxidation State of the Super-Earth TOI-1685 b;Chloe Fisher;12;24.72;NIRSpec/BOTS
4227;Chemistry and Clouds of a Temperate Jupiter;Alastair Claringbold, Peter Wheatley;12;12.61;NIRSpec/BOTS
4290;Dust Settling and Grain Evolution across the Nearby Population of Edge-on Protoplanetary Disks;Francois Menard, Karl Stapelfeldt;12;28.4;MIRI/Imaging,NIRCam/Imaging
4403;The MIRI survey for Exoplanets Orbiting White-dwarfs (MEOW);Mary Anne Limbach, Andrew Vanderburg;12;0;MIRI/Imaging
