2792;NIRSpec Spectroscopy of a Remarkably Luminous Galaxy at z=10.19;Yuichi Harikane;12;2.92;NIRCam/Imaging,NIRSpec/FS
2883;MAGNIF: Medium-band Astrophysics with the Grism of NIRCam in Frontier Fields;Fengwu Sun;0;38.73;NIRCam/WFSS
2913;Dissecting the Monsters: Resolved IFU Spectroscopy of the Most Massive Quiescent Galaxies at z&gt:3;Ben Forrest;12;19.41;NIRSpec/IFU
2926;A pathfinder study of the physical properties of the earliest galaxies. MIRI spectroscopy of GN-z11, a galaxy at redshift 11;Luis Colina Robledo;12;19.78;MIRI/MRS
2959;Resolving early galaxy disks at z~8 with NIRSpec-IFS;Jan Scholtz;12;24.18;NIRSpec/IFU
2969;Distant Sparkles: Are We Seeing Ancient Globular Clusters at Cosmic Noon?;Lamiya Mowla, Kartheik Iyer;12;24.74;NIRSpec/IFU
3045;Witnessing the Maturing of Teenage Galaxies at z = 4 &ndash: 6 with a Comprehensive UV - Optical - Sub-mm Benchmark Sample for the Community;Andreas Faisst;0;56.93;NIRSpec/IFU
3073;Spectroscopic confirmation of an unexpected population of bright galaxies at cosmic dawn;Marco Castellano;12;19.33;NIRSpec/MOS
3215;Unveiling the Redshift Frontier with JWST;Daniel Eisenstein, Roberto Maiolino;0;135.46;NIRSpec/MOS
3224;Measuring Dust Evolution Over the Past 10 Billion Years With 3-12 micron Spectra for 60 High-Redshift Galaxies;nbsp;Jed McKinney,&nbsp;Alexandra Pope,&nbsp;Anna Sajina,&nbsp;;12;61.6;MIRI/LRS
3252;New Predictions for Galaxy Metallicity Scaling Relations in the JWST Era: Departures from Equilibrium Models and Implications for the Cosmic Baryon Cycle;Claude-Andre Faucher-Giguere;0;0;&nbsp;
3290;A complete spectroscopic census of the faintest galaxies and AGN at the dawn of galaxy formation;Matthew Hayes, Claudia Scarlata;12;48.5;NIRSpec/MOS
3293;JWST&#39:s GLIMPSE: Gravitational lensing &amp: NIRCam imaging to probe early galaxy formation and sources of reionization;Hakim Atek, John Chisholm;0;147.82;NIRCam/Imaging
3305;Analyzing Giant Clumps in JWST Images of Star-Forming Galaxies to Constrain Feedback;Yicheng Guo, Marc Huertas-Company and Joel Primack;0;0;&nbsp;
3322;Determination of the Star-by-Star Elemental Abundance Trends in Nearby Galaxies: Are the Disks Bimodal?;David Nataf;12;15.91;NIRCam/Imaging
3348;Crouching Galaxy, Hidden Stars: Observational Tests of Cluster Formation Theories;Rupali Chandar;12;7.46;NIRCam/Imaging
3362;JWST in Technicolor: Finding and Mapping the Most Extreme Star Forming Galaxies in the Epoch of Reionization with Medium and Narrow Bands;Adam Muzzin;0;44.03;NIRISS/WFSS
