Stellar Radius (Solar Radii), Stellar Mass (Solar Mass), Stellar Teff (K), Distance (pc)
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
1.49,1.75,7295.0,29.7575
1.49,1.75,7295.0,29.7575
1.26,1.22,6234.0,17.5299
1.26,1.22,6234.0,17.5299
1.26,1.22,6234.0,17.5299
1.26,1.22,6234.0,17.5299
1.26,1.22,6234.0,17.5299
1.26,1.22,6234.0,17.5299
2.01,1.5,7314.0,159.537
2.01,1.5,7314.0,159.537
0.12,0.09,2566.0,12.4298888
0.12,0.09,2566.0,12.4298888
0.12,0.09,2566.0,12.4298888
0.12,0.09,2566.0,12.4298888
0.95,0.77,5443.0,80.4373
0.46,0.45,3575.0,37.6153
0.58,0.6,3879.0,243.836
0.58,0.6,3879.0,243.836
0.58,0.6,3879.0,243.836
0.27,0.25,3333.0,48.582
0.84,0.79,5342.0,85.799
0.19,0.15,3036.0,14.8846
0.36,0.36,3347.0,27.3644
0.36,0.36,3347.0,27.3644
0.36,0.36,3347.0,27.3644
0.36,0.36,3347.0,27.3644
0.34,0.34,3505.0,9.44181
0.44,0.44,3803.0,10.0055
0.44,0.44,3803.0,10.0055
not found,not found,not found,not found
0.22,0.18,3096.0,14.9861
0.22,0.18,3096.0,14.9861
0.22,0.18,3096.0,14.9861
0.25,0.24,3381.0,18.2276
0.25,0.24,3381.0,18.2276
0.38,0.38,3358.0,21.9814
0.38,0.38,3358.0,21.9814
0.34,0.34,3496.0,24.7399
0.34,0.34,3496.0,24.7399
0.34,0.34,3496.0,24.7399
0.38,0.39,3506.0,22.4793
0.38,0.39,3506.0,22.4793
0.38,0.39,3506.0,22.4793
0.38,0.39,3506.0,22.4793
0.7,0.71,4600.0,63.9262
0.7,0.71,4600.0,63.9262
1.17,1.15,5980.0,158.979
1.29,1.07,6327.0,109.353
0.68,0.81,4653.0,37.7647
1.46,1.36,6776.0,269.898
1.48,1.67,6170.0,211.211
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
0.62,0.64,3913.0,181.139
0.62,0.64,3913.0,181.139
0.57,0.57,3724.0,169.318
0.57,0.57,3724.0,169.318
0.58,0.6,3790.4,194.964
0.58,0.6,3790.4,194.964
0.58,0.6,3790.4,194.964
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
0.39,0.39,3430.0,86.4493
0.39,0.39,3430.0,86.4493
0.39,0.39,3430.0,86.4493
0.95,0.97,5734.0,343.863
2.36,2.03,8000.0,99.731
0.7,0.74,4350.0,58.2609
0.7,0.74,4350.0,58.2609
0.7,0.74,4350.0,58.2609
0.7,0.74,4350.0,58.2609
0.48,0.49,3553.0,27.6227
0.48,0.49,3553.0,27.6227
0.48,0.49,3553.0,27.6227
0.38,0.38,3358.0,21.9814
0.38,0.38,3358.0,21.9814
0.38,0.38,3358.0,21.9814
0.34,0.34,3496.0,24.7399
0.34,0.34,3496.0,24.7399
0.34,0.34,3496.0,24.7399
0.38,0.39,3506.0,22.4793
1.16,1.04,5371.0,264.78
1.16,1.04,5371.0,264.78
0.86,0.98,4700.0,49.9605
0.86,0.98,4700.0,49.9605
0.37,0.39,3388.8,72.811
1.66,1.08,6200.0,515.98
1.73,1.54,6768.0,136.681
1.7,1.64,6478.0,356.391
1.48,1.18,6300.0,282.091
1.31,1.55,6304.0,213.985
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
not found,not found,not found,not found
1.48,1.17,5947.0,881.386
1.48,1.17,5947.0,881.386
0.79,0.87,5008.37,174.818
1.67,1.3,5872.0,738.519
1.67,1.3,5872.0,738.519
1.05,1.06,5540.0,352.464
not found,not found,not found,not found
not found,not found,not found,not found
0.46,0.45,3575.0,37.6153
0.46,0.45,3575.0,37.6153
0.6,0.61,4236.0,29.661
0.6,0.61,4236.0,29.661
0.6,0.61,4236.0,29.661
0.6,0.61,4236.0,29.661
0.52,0.52,3556.0,22.4751
0.52,0.52,3556.0,22.4751
0.52,0.52,3556.0,22.4751
0.52,0.52,3556.0,22.4751
0.38,0.39,3506.0,22.4793
0.38,0.39,3506.0,22.4793
0.38,0.39,3506.0,22.4793
0.38,0.39,3506.0,22.4793
0.68,0.81,4653.0,37.7647
0.68,0.81,4653.0,37.7647
0.85,0.86,5320.0,111.059
0.85,0.86,5320.0,111.059
0.46,0.45,3575.0,37.6153
0.46,0.45,3575.0,37.6153
0.46,0.45,3575.0,37.6153
0.46,0.45,3575.0,37.6153
0.61,0.63,3926.0,128.438
