Cycle,PID,Star,J-magnitude,Planet,Stellar Radius (Solar Radii),Stellar Mass (Solar Mass),Stellar Teff (K),Distance (pc),Planet Mass (Earth masses),Planet Radius (Earth radii),Planet Teq (K),Planet Period (days),Planet semi-major axis (AU),Observation,Instrument/Mode,Filter,Science Mode,Sub-science theme,Seconds on target,Target multiplier*
3,6086,SR 12 AB,9.424,SR 12 AB c,1.1,1.2,3828.93,112.3172158,4449.597692,,2400,,1100,1,NIRSpec/G140H,F100LP,Direct Imaging,Spectroscopic,450.549,1
3,6086,SR 12 AB,9.424,SR 12 AB c,1.1,1.2,3828.93,112.3172158,4449.597692,,2400,,1100,1,NIRSpec/G140H,F100LP,Direct Imaging,Spectroscopic,450.549,1
3,6086,SR 12 AB,9.424,SR 12 AB c,1.1,1.2,3828.93,112.3172158,4449.597692,,2400,,1100,2,NIRSpec/G235H,F170LP,Direct Imaging,Spectroscopic,802.165,1
3,6086,SR 12 AB,9.424,SR 12 AB c,1.1,1.2,3828.93,112.3172158,4449.597692,,2400,,1100,2,NIRSpec/G235H,F170LP,Direct Imaging,Spectroscopic,802.165,1
3,6086,SR 12 AB,9.424,SR 12 AB c,1.1,1.2,3828.93,112.3172158,4449.597692,,2400,,1100,3,NIRSpec/G395H,F290LP,Direct Imaging,Spectroscopic,890.069,1
3,6086,SR 12 AB,9.424,SR 12 AB c,1.1,1.2,3828.93,112.3172158,4449.597692,,2400,,1100,3,NIRSpec/G395H,F290LP,Direct Imaging,Spectroscopic,890.069,1
3,6086,SR 12 AB,9.424,SR 12 AB c,1.1,1.2,3828.93,112.3172158,4449.597692,,2400,,1100,4,MIRI/Imaging,F1000W,Direct Imaging,Spectroscopic,66.601,1
3,6086,SR 12 AB,9.424,SR 12 AB c,1.1,1.2,3828.93,112.3172158,4449.597692,,2400,,1100,4,MIRI/MRS,SHORT(A),Direct Imaging,Spectroscopic,13397.893,1
3,6086,SR 12 AB,9.424,SR 12 AB c,1.1,1.2,3828.93,112.3172158,4449.597692,,2400,,1100,5,MIRI/Imaging,F1000W,Direct Imaging,Spectroscopic,66.601,1
3,6086,SR 12 AB,9.424,SR 12 AB c,1.1,1.2,3828.93,112.3172158,4449.597692,,2400,,1100,5,MIRI/MRS,MEDIUM(B),Direct Imaging,Spectroscopic,13397.893,1
3,6086,SR 12 AB,9.424,SR 12 AB c,1.1,1.2,3828.93,112.3172158,4449.597692,,2400,,1100,6,MIRI/Imaging,F1000W,Direct Imaging,Spectroscopic,66.601,1
3,6086,SR 12 AB,9.424,SR 12 AB c,1.1,1.2,3828.93,112.3172158,4449.597692,,2400,,1100,6,MIRI/MRS,LONG(C),Direct Imaging,Spectroscopic,13397.893,1
3,6361,CT Cha,9.715,CT Cha b,1.68,0.465,4403,190.72,5403,24.66,2600,,440,1,NIRSpec/G140H,F100LP,Direct Imaging,Spectroscopic,4201.6,1
3,6361,CT Cha,9.715,CT Cha b,1.68,0.465,4403,190.72,5403,24.66,2600,,440,1,NIRSpec/G235H,F170LP,Direct Imaging,Spectroscopic,3851.467,1
3,6361,CT Cha,9.715,CT Cha b,1.68,0.465,4403,190.72,5403,24.66,2600,,440,1,NIRSpec/G395H,F290LP,Direct Imaging,Spectroscopic,700.267,1
