Cycle,PID,Star,J-magnitude,Planet,Stellar Radius (Solar Radii),Stellar Mass (Solar Mass),Stellar Teff (K),Distance (pc),Planet Mass (Earth masses),Planet Radius (Earth radii),Planet Teq (K),Planet Period (days),Planet semi-major axis (AU),Observation,Instrument/Mode,Filter,Science Mode,Sub-science theme,Seconds on target,Target multiplier*
4,7073,LTT 1445 A,7.294,LTT 1445 A b,0.27,0.26,3340,6.86929,2.73,1.34,431,5.3587635,0.0381,1,NIRISS/SOSS,CLEAR,Transmission Spectroscopy,Spectroscopic,15311.928,1
4,7073,LTT 1445 A,7.294,LTT 1445 A b,0.27,0.26,3340,6.86929,2.73,1.34,431,5.3587635,0.0381,2,NIRISS/SOSS,CLEAR,Transmission Spectroscopy,Spectroscopic,15311.928,1
4,7073,LTT 1445 A,7.294,LTT 1445 A b,0.27,0.26,3340,6.86929,2.73,1.34,431,5.3587635,0.0381,3,NIRSpec/G395H,F290LP,Transmission Spectroscopy,Spectroscopic,14484.892,1
4,7073,LTT 1445 A,7.294,LTT 1445 A c,0.27,0.26,3340,6.86929,1.37,1.07,516,3.1238994,0.02659,11,NIRISS/SOSS,CLEAR,Transmission Spectroscopy,Spectroscopic,10616.27,1
4,7073,LTT 1445 A,7.294,LTT 1445 A c,0.27,0.26,3340,6.86929,1.37,1.07,516,3.1238994,0.02659,12,NIRISS/SOSS,CLEAR,Transmission Spectroscopy,Spectroscopic,10616.27,1
4,7073,LTT 1445 A,7.294,LTT 1445 A c,0.27,0.26,3340,6.86929,1.37,1.07,516,3.1238994,0.02659,13,NIRSpec/G395H,F290LP,Transmission Spectroscopy,Spectroscopic,14484.892,1
4,7073,LTT 1445 A,7.294,LTT 1445 A c,0.27,0.26,3340,6.86929,1.37,1.07,516,3.1238994,0.02659,14,NIRSpec/G395H,F290LP,Transmission Spectroscopy,Spectroscopic,14484.892,1
4,7073,LHS 1140,9.612001,LHS 1140 b,0.22,0.18,3096,14.9861,5.6,1.73,226,24.73723,0.0946,21,NIRISS/SOSS,CLEAR,Transmission Spectroscopy,Spectroscopic,18042.511,1
4,7073,LHS 1140,9.612001,LHS 1140 b,0.22,0.18,3096,14.9861,5.6,1.73,226,24.73723,0.0946,22,NIRISS/SOSS,CLEAR,Transmission Spectroscopy,Spectroscopic,18042.511,1
4,7073,LHS 1140,9.612001,LHS 1140 b,0.22,0.18,3096,14.9861,5.6,1.73,226,24.73723,0.0946,23,NIRISS/SOSS,CLEAR,Transmission Spectroscopy,Spectroscopic,18042.511,1
4,7073,LHS 1140,9.612001,LHS 1140 b,0.22,0.18,3096,14.9861,5.6,1.73,226,24.73723,0.0946,24,NIRSpec/G395H,F290LP,Transmission Spectroscopy,Spectroscopic,18062.254,1
4,7073,LHS 1140,9.612001,LHS 1140 b,0.22,0.18,3096,14.9861,5.6,1.73,226,24.73723,0.0946,24,NIRSpec/G395H,F290LP,Transmission Spectroscopy,Spectroscopic,18062.254,1
4,7073,LHS 1140,9.612001,LHS 1140 b,0.22,0.18,3096,14.9861,5.6,1.73,226,24.73723,0.0946,25,NIRSpec/G395H,F290LP,Transmission Spectroscopy,Spectroscopic,18062.254,1
4,7073,LHS 1140,9.612001,LHS 1140 b,0.22,0.18,3096,14.9861,5.6,1.73,226,24.73723,0.0946,26,NIRSpec/G395H,F290LP,Transmission Spectroscopy,Spectroscopic,18062.254,1
4,7073,LHS 1140,9.612001,LHS 1140 c,0.22,0.18,3096,14.9861,1.91,1.272,422,3.77794,0.027,31,NIRISS/SOSS,CLEAR,Transmission Spectroscopy,Spectroscopic,13352.033,1
4,7073,LHS 1140,9.612001,LHS 1140 c,0.22,0.18,3096,14.9861,1.91,1.272,422,3.77794,0.027,32,NIRSpec/G395H,F290LP,Transmission Spectroscopy,Spectroscopic,14451.251,1
4,7073,LHS 1140,9.612001,LHS 1140 c,0.22,0.18,3096,14.9861,1.91,1.272,422,3.77794,0.027,33,NIRSpec/G395H,F290LP,Transmission Spectroscopy,Spectroscopic,14451.251,1
4,7073,LP 890-9,12.258,LP 890-9 b,0.1556,0.118,2850,32.4298,2.33,1.32,396,2.7299025,0.01875,41,NIRSpec/PRISM,CLEAR,Transmission Spectroscopy,Spectroscopic,14624.28,1
4,7073,LP 890-9,12.258,LP 890-9 b,0.1556,0.118,2850,32.4298,2.33,1.32,396,2.7299025,0.01875,42,NIRSpec/PRISM,CLEAR,Transmission Spectroscopy,Spectroscopic,14624.28,1
4,7073,LP 890-9,12.258,LP 890-9 b,0.1556,0.118,2850,32.4298,2.33,1.32,396,2.7299025,0.01875,43,NIRSpec/PRISM,CLEAR,Transmission Spectroscopy,Spectroscopic,14624.28,1
4,7073,LP 890-9,12.258,LP 890-9 b,0.1556,0.118,2850,32.4298,2.33,1.32,396,2.7299025,0.01875,44,NIRSpec/PRISM,CLEAR,Transmission Spectroscopy,Spectroscopic,14624.28,1
4,7073,LP 890-9,12.258,LP 890-9 b,0.1556,0.118,2850,32.4298,2.33,1.32,396,2.7299025,0.01875,45,NIRSpec/PRISM,CLEAR,Transmission Spectroscopy,Spectroscopic,14624.28,1
4,7073,LP 890-9,12.258,LP 890-9 b,0.1556,0.118,2850,32.4298,2.33,1.32,396,2.7299025,0.01875,46,NIRSpec/PRISM,CLEAR,Transmission Spectroscopy,Spectroscopic,14624.28,1
4,7073,LP 890-9,12.258,LP 890-9 b,0.1556,0.118,2850,32.4298,2.33,1.32,396,2.7299025,0.01875,47,NIRSpec/PRISM,CLEAR,Transmission Spectroscopy,Spectroscopic,14624.28,1
4,7073,LP 890-9,12.258,LP 890-9 b,0.1556,0.118,2850,32.4298,2.33,1.32,396,2.7299025,0.01875,48,NIRSpec/PRISM,CLEAR,Transmission Spectroscopy,Spectroscopic,14624.28,1
4,7073,LP 890-9,12.258,LP 890-9 c,0.1556,0.118,2850,32.4298,2.6,1.367,272,8.457463,0.03984,51,NIRSpec/PRISM,CLEAR,Transmission Spectroscopy,Spectroscopic,14624.28,1
4,7073,LP 890-9,12.258,LP 890-9 c,0.1556,0.118,2850,32.4298,2.6,1.367,272,8.457463,0.03984,52,NIRSpec/PRISM,CLEAR,Transmission Spectroscopy,Spectroscopic,14624.28,1
4,7073,LP 890-9,12.258,LP 890-9 c,0.1556,0.118,2850,32.4298,2.6,1.367,272,8.457463,0.03984,53,NIRSpec/PRISM,CLEAR,Transmission Spectroscopy,Spectroscopic,14624.28,1
