Cycle,PID,Star,J-magnitude,Planet,Stellar Radius (Solar Radii),Stellar Mass (Solar Mass),Stellar Teff (K),Distance (pc),Planet Mass (Earth masses),Planet Radius (Earth radii),Planet Teq (K),Planet Period (days),Planet semi-major axis (AU),Observation,Instrument/Mode,Filter,Science Mode,Sub-science theme,Seconds on target,Target multiplier*
1,2734,HAT-P-18,10.822,HAT-P-18 b,0.75,0.77,4803,161.4,62.61,11.153,852,5.508023,0.0559,1,NIRISS/SOSS,CLEAR,Transmission Spectroscopy,Spectroscopic,25776.465,1
1,2734,WASP-96,11.267,WASP-96 b,1.05,1.06,5540,352.464,152.55,13.45,1285,3.4252602,0.0453,2,NIRISS/SOSS,CLEAR,Transmission Spectroscopy,Spectroscopic,23080.534,1
1,1118,HAT-P-14,9.094,HAT-P-14 b,1.82,2.65,6600,222.663,1093,15.9,1624,4.62767,0.06108,5,NIRSpec/G395H,F290LP,Transmission Spectroscopy,Spectroscopic,21598.265,1
1,1442,HAT-P-14,9.094,HAT-P-14 b,1.82,2.65,6600,222.663,1093,15.9,1624,4.62767,0.06108,1,NIRCam/Grism,F322W2,Transmission Spectroscopy,Spectroscopic,21621.514,1
1,1442,HAT-P-14,9.094,HAT-P-14 b,1.82,2.65,6600,222.663,1093,15.9,1624,4.62767,0.06108,1,NIRCam/WLP8,F210M,Transmission Spectroscopy,Photometric,21621.514,0
1,1541,HAT-P-14,9.094,HAT-P-14 b,1.82,2.65,6600,222.663,1093,15.9,1624,4.62767,0.06108,1,NIRISS/SOSS,CLEAR,Transmission Spectroscopy,Spectroscopic,22009.691,1
1,1033,L 168-9,7.941,L 168-9 b,0.6,0.59,3842,25.1496,4.07,1.63,998,1.40152604,0.0208,5,MIRI/LRS,,Transmission Spectroscopy,Spectroscopic,14903.479,1
1,2783,WASP-39,10.663,WASP-39 b,0.92,0.93,5485,213.982,89.3,14.34,1166,4.0552941,0.04828,1,MIRI/LRS,,Transmission Spectroscopy,Spectroscopic,28575.989,1
2,4558,AF Lep,5.268,AF Lep b,1.25,1.2,6130,26.8564,1664,,1400,7520,7.99,1,NIRCam/Coronagraphic,F356W/F444W,Direct Imaging,Photometric,1872.254,1
2,4558,AF Lep,5.268,AF Lep b,1.25,1.2,6130,26.8564,1664,,1400,7520,7.99,1,NIRCam/Coronagraphic,F200W,Direct Imaging,Photometric,1872.254,0
2,4558,AF Lep,5.268,AF Lep b,1.25,1.2,6130,26.8564,1664,,1400,7520,7.99,2,NIRCam/Coronagraphic,F356W/F444W,Direct Imaging,Photometric,1872.254,1
2,4558,AF Lep,5.268,AF Lep b,1.25,1.2,6130,26.8564,1664,,1400,7520,7.99,2,NIRCam/Coronagraphic,F200W,Direct Imaging,Photometric,1872.254,0
2,4558,AF Lep,5.268,AF Lep b,1.25,1.2,6130,26.8564,1664,,1400,7520,7.99,7,NIRCam/Coronagraphic,F356W/F444W,Direct Imaging,Photometric,1872.254,1
2,4558,AF Lep,5.268,AF Lep b,1.25,1.2,6130,26.8564,1664,,1400,7520,7.99,7,NIRCam/Coronagraphic,F200W,Direct Imaging,Photometric,1872.254,0
2,4558,AF Lep,5.268,AF Lep b,1.25,1.2,6130,26.8564,1664,,1400,7520,7.99,8,NIRCam/Coronagraphic,F356W/F444W,Direct Imaging,Photometric,1872.254,1
2,4558,AF Lep,5.268,AF Lep b,1.25,1.2,6130,26.8564,1664,,1400,7520,7.99,8,NIRCam/Coronagraphic,F200W,Direct Imaging,Photometric,1872.254,0
2,6543,LHS 1140,9.612001,LHS 1140 b,0.22,0.18,3096,14.9861,5.6,1.73,226,24.73723,0.0946,1,NIRISS/SOSS,CLEAR,Transmission Spectroscopy,Spectroscopic,20874.66,1
2,6543,LHS 1140,9.612001,LHS 1140 b,0.22,0.18,3096,14.9861,5.6,1.73,226,24.73723,0.0946,2,NIRISS/SOSS,CLEAR,Transmission Spectroscopy,Spectroscopic,20874.66,1
2,6543,LHS 1140,9.612001,LHS 1140 c,0.22,0.18,3096,14.9861,1.91,1.272,422,3.77794,0.027,2,NIRISS/SOSS,CLEAR,Transmission Spectroscopy,Spectroscopic,20874.66,0
1,1366,WASP-39,10.663,WASP-39 b,0.92,0.93,5485,213.982,89.3,14.34,1166,4.0552941,0.04828,1,NIRISS/SOSS,CLEAR,Transmission Spectroscopy,Spectroscopic,29513.778,1
1,1366,WASP-39,10.663,WASP-39 b,0.92,0.93,5485,213.982,89.3,14.34,1166,4.0552941,0.04828,2,NIRCam/Grism,F322W2,Transmission Spectroscopy,Spectroscopic,29580.808,1
1,1366,WASP-39,10.663,WASP-39 b,0.92,0.93,5485,213.982,89.3,14.34,1166,4.0552941,0.04828,2,NIRCam/WLP8,F210M,Transmission Spectroscopy,Spectroscopic,29580.808,0
1,1366,WASP-39,10.663,WASP-39 b,0.92,0.93,5485,213.982,89.3,14.34,1166,4.0552941,0.04828,3,NIRSpec/G395H,F290LP,Transmission Spectroscopy,Spectroscopic,29789.053,1
1,1366,WASP-39,10.663,WASP-39 b,0.92,0.93,5485,213.982,89.3,14.34,1166,4.0552941,0.04828,4,NIRSpec/PRISM,CLEAR,Transmission Spectroscopy,Spectroscopic,29614.96,1
1,1366,WASP-43,9.995,WASP-43 b,0.6,0.58,4400,86.7467,565.714,10.424,1426.7,0.813475,0.0142,11,MIRI/LRS,,Phase Curve,Spectroscopic,95270.844,1
1,1366,WASP-18,8.409,WASP-18 b,1.32,1.29,6432,123.483,3242,13.9,2429,0.94145223,0.02024,21,NIRISS/SOSS,CLEAR,Secondary Eclipse,Spectroscopic,24144.026,1
1,1386,HIP 65426,6.826,HIP 65426 b,1.77,1.96,8840,108.875,2860,17,1500,,92,2,NIRCam/Coronagraphic,F250M,Direct Imaging,Photometric,1235.892,1
1,1386,HIP 65426,6.826,HIP 65426 b,1.77,1.96,8840,108.875,2860,17,1500,,92,2,NIRCam/Coronagraphic,F300M,Direct Imaging,Photometric,1235.892,1
1,1386,HIP 65426,6.826,HIP 65426 b,1.77,1.96,8840,108.875,2860,17,1500,,92,2,NIRCam/Coronagraphic,F410M,Direct Imaging,Photometric,1235.892,1
