Cycle,PID,Star,J-magnitude,Planet,Stellar Radius (Solar Radii),Stellar Mass (Solar Mass),Stellar Teff (K),Distance (pc),Planet Mass (Earth masses),Planet Radius (Earth radii),Planet Teq (K),Planet Period (days),Planet semi-major axis (AU),Observation,Instrument/Mode,Filter,Science Mode,Sub-science theme,Seconds on target,Target multiplier*
1,1177,WASP-80,9.218,WASP-80 b,0.59,0.58,4143,49.7876,171,11.2,825,3.06785234,0.0344,1,MIRI/LRS,,Transmission Spectroscopy,Spectroscopic,21498.9,1
1,1177,WASP-80,9.218,WASP-80 b,0.59,0.58,4143,49.7876,171,11.2,825,3.06785234,0.0344,2,MIRI/LRS,,Secondary Eclipse,Spectroscopic,21498.9,1
1,1177,WASP-69,8.032,WASP-69 b,0.86,0.98,4700,49.9605,92,12.4,963,3.86814,0.0489745,3,MIRI/LRS,,Secondary Eclipse,Spectroscopic,22375.5,1
1,1177,GJ 436,6.9,GJ 436 b,0.46,0.47,3586.11,9.75321,22.1,4.17,686,2.64388312,0.0291,4,MIRI/LRS,,Secondary Eclipse,Spectroscopic,17247.7,1
1,1177,GJ 436,6.9,GJ 436 b,0.46,0.47,3586.11,9.75321,22.1,4.17,686,2.64388312,0.0291,5,MIRI/LRS,,Secondary Eclipse,Spectroscopic,17247.7,1
1,1177,HAT-P-26,10.08,HAT-P-26 b,0.87,1.12,5079,141.837,22,7.1,1001,4.23452,0.0479,6,MIRI/LRS,,Secondary Eclipse,Spectroscopic,24024.4,1
1,1177,TRAPPIST-1,11.354,TRAPPIST-1 b,0.12,0.09,2566,12.4298888,1.374,1.116,397.6,1.510826,0.01154,7,MIRI/Imaging,F1500W,Secondary Eclipse,Photometric,15690.1,1
1,1177,TRAPPIST-1,11.354,TRAPPIST-1 b,0.12,0.09,2566,12.4298888,1.374,1.116,397.6,1.510826,0.01154,7,MIRI/Imaging,F1500W,Secondary Eclipse,Photometric,15690.1,1
1,1177,TRAPPIST-1,11.354,TRAPPIST-1 b,0.12,0.09,2566,12.4298888,1.374,1.116,397.6,1.510826,0.01154,7,MIRI/Imaging,F1500W,Secondary Eclipse,Photometric,15690.1,1
1,1177,TRAPPIST-1,11.354,TRAPPIST-1 b,0.12,0.09,2566,12.4298888,1.374,1.116,397.6,1.510826,0.01154,7,MIRI/Imaging,F1500W,Secondary Eclipse,Photometric,15690.1,1
1,1177,TRAPPIST-1,11.354,TRAPPIST-1 b,0.12,0.09,2566,12.4298888,1.374,1.116,397.6,1.510826,0.01154,7,MIRI/Imaging,F1500W,Secondary Eclipse,Photometric,15690.1,1
1,1185,HD 189733,6.073,HD 189733 b,0.75,0.83,5052,19.7638,370.6,12.54,1209,2.218577,0.03106,1,NIRCam/Grism,F444W,Secondary Eclipse,Spectroscopic,20060.3,1
1,1185,HD 189733,6.073,HD 189733 b,0.75,0.83,5052,19.7638,370.6,12.54,1209,2.218577,0.03106,1,NIRCam/CLEAR,WLP4,Secondary Eclipse,Photometric,20060.3,0
1,1185,WASP-80,9.218,WASP-80 b,0.59,0.58,4143,49.7876,171,11.2,825,3.06785234,0.0344,2,NIRCam/Grism,F322W2,Transmission Spectroscopy,Spectroscopic,21506.2,1
1,1185,WASP-80,9.218,WASP-80 b,0.59,0.58,4143,49.7876,171,11.2,825,3.06785234,0.0344,2,NIRCam/WLP8,F210M,Transmission Spectroscopy,Photometric,21506.2,0
1,1185,WASP-80,9.218,WASP-80 b,0.59,0.58,4143,49.7876,171,11.2,825,3.06785234,0.0344,103,NIRCam/Grism,F444W,Transmission Spectroscopy,Spectroscopy,21526.5,1
1,1185,WASP-80,9.218,WASP-80 b,0.59,0.58,4143,49.7876,171,11.2,825,3.06785234,0.0344,103,NIRCam/WLP8,F210M,Transmission Spectroscopy,Photometric,21526.5,0
1,1185,WASP-80,9.218,WASP-80 b,0.59,0.58,4143,49.7876,171,11.2,825,3.06785234,0.0344,4,NIRCam/Grism,F322W2,Secondary Eclipse,Spectroscopic,21506.2,1
1,1185,WASP-80,9.218,WASP-80 b,0.59,0.58,4143,49.7876,171,11.2,825,3.06785234,0.0344,4,NIRCam/WLP8,F210M,Secondary Eclipse,Photometric,21506.2,0
1,1185,WASP-80,9.218,WASP-80 b,0.59,0.58,4143,49.7876,171,11.2,825,3.06785234,0.0344,5,NIRCam/Grism,F444W,Secondary Eclipse,Spectroscopic,21526.5,1
1,1185,WASP-80,9.218,WASP-80 b,0.59,0.58,4143,49.7876,171,11.2,825,3.06785234,0.0344,5,NIRCam/WLP8,F210M,Secondary Eclipse,Photometric,21526.5,0
1,1185,WASP-69,8.032,WASP-69 b,0.86,0.98,4700,49.9605,92,12.4,963,3.86814,0.0489745,6,NIRCam/Grism,F322W2,Secondary Eclipse,Spectroscopic,22361.8,1
1,1185,WASP-69,8.032,WASP-69 b,0.86,0.98,4700,49.9605,92,12.4,963,3.86814,0.0489745,6,NIRCam/WLP8,F210M,Secondary Eclipse,Photometric,22361.8,0
1,1185,WASP-69,8.032,WASP-69 b,0.86,0.98,4700,49.9605,92,12.4,963,3.86814,0.0489745,7,NIRCam/Grism,F444W,Secondary Eclipse,Spectroscopic,22354.9,1
1,1185,WASP-69,8.032,WASP-69 b,0.86,0.98,4700,49.9605,92,12.4,963,3.86814,0.0489745,7,NIRCam/WLP8,F210M,Secondary Eclipse,Photometric,22354.9,0
1,1185,WASP-107,9.378,WASP-107 b,0.66,0.68,4425,64.7414,38,11,770,5.72149,0.055,8,NIRCam/Grism,F322W2,Transmission Spectroscopy,Spectroscopic,26145.5,1
1,1185,WASP-107,9.378,WASP-107 b,0.66,0.68,4425,64.7414,38,11,770,5.72149,0.055,8,NIRCam/WLP8,F210M,Transmission Spectroscopy,Photometric,26145.5,0
1,1185,WASP-107,9.378,WASP-107 b,0.66,0.68,4425,64.7414,38,11,770,5.72149,0.055,9,NIRCam/Grism,F444W,Transmission Spectroscopy,Spectroscopic,26104.9,1
1,1185,WASP-107,9.378,WASP-107 b,0.66,0.68,4425,64.7414,38,11,770,5.72149,0.055,9,NIRCam/WLP8,F210M,Transmission Spectroscopy,Photometric,26104.9,0
1,1185,GJ 436,6.9,GJ 436 b,0.46,0.47,3586.11,9.75321,22.1,4.17,686,2.64388312,0.0291,10,NIRCam/Grism,F322W2,Secondary Eclipse,Spectroscopic,17239.4,1
1,1185,GJ 436,6.9,GJ 436 b,0.46,0.47,3586.11,9.75321,22.1,4.17,686,2.64388312,0.0291,10,NIRCam/CLEAR,WLP4,Secondary Eclipse,Photometric,17239.4,0
1,1185,GJ 436,6.9,GJ 436 b,0.46,0.47,3586.11,9.75321,22.1,4.17,686,2.64388312,0.0291,11,NIRCam/Grism,F444W,Secondary Eclipse,Spectroscopic,17247.2,1
1,1185,GJ 436,6.9,GJ 436 b,0.46,0.47,3586.11,9.75321,22.1,4.17,686,2.64388312,0.0291,11,NIRCam/CLEAR,WLP4,Secondary Eclipse,Photometric,17247.2,0
1,1185,GJ 436,6.9,GJ 436 b,0.46,0.47,3586.11,9.75321,22.1,4.17,686,2.64388312,0.0291,12,NIRCam/Grism,F322W2,Secondary Eclipse,Spectroscopic,17050.7,1
1,1185,GJ 436,6.9,GJ 436 b,0.46,0.47,3586.11,9.75321,22.1,4.17,686,2.64388312,0.0291,12,NIRCam/CLEAR,WLP4,Secondary Eclipse,Photometric,17050.7,0
1,1185,GJ 436,6.9,GJ 436 b,0.46,0.47,3586.11,9.75321,22.1,4.17,686,2.64388312,0.0291,13,NIRCam/Grism,F444W,Secondary Eclipse,Spectroscopic,17247.2,1
1,1185,GJ 436,6.9,GJ 436 b,0.46,0.47,3586.11,9.75321,22.1,4.17,686,2.64388312,0.0291,13,NIRCam/CLEAR,WLP4,Secondary Eclipse,Photometric,17247.2,0
1,1185,GJ 436,6.9,GJ 436 b,0.46,0.47,3586.11,9.75321,22.1,4.17,686,2.64388312,0.0291,14,NIRCam/Grism,F322W2,Secondary Eclipse,Spectroscopic,17050.7,1
1,1185,GJ 436,6.9,GJ 436 b,0.46,0.47,3586.11,9.75321,22.1,4.17,686,2.64388312,0.0291,14,NIRCam/CLEAR,WLP4,Secondary Eclipse,Photometric,17050.7,0
1,1185,GJ 436,6.9,GJ 436 b,0.46,0.47,3586.11,9.75321,22.1,4.17,686,2.64388312,0.0291,15,NIRCam/Grism,F444W,Secondary Eclipse,Spectroscopic,17067.1,1
1,1185,GJ 436,6.9,GJ 436 b,0.46,0.47,3586.11,9.75321,22.1,4.17,686,2.64388312,0.0291,15,NIRCam/CLEAR,WLP4,Secondary Eclipse,Photometric,17067.1,0
1,1185,GJ 3470,8.794,GJ 3470 b,0.5,0.5,3652,29.4214,13.9,4.57,593.5,3.3366496,0.0355,16,NIRCam/Grism,F322W2,Transmission Spectroscopy,Spectroscopic,20408.5,1
1,1185,GJ 3470,8.794,GJ 3470 b,0.5,0.5,3652,29.4214,13.9,4.57,593.5,3.3366496,0.0355,16,NIRCam/WLP8,F210M,Transmission Spectroscopy,Photometric,20408.5,0
1,1185,GJ 3470,8.794,GJ 3470 b,0.5,0.5,3652,29.4214,13.9,4.57,593.5,3.3366496,0.0355,17,NIRCam/Grism,F444W,Transmission Spectroscopy,Spectroscopic,20402.8,1
1,1185,GJ 3470,8.794,GJ 3470 b,0.5,0.5,3652,29.4214,13.9,4.57,593.5,3.3366496,0.0355,17,NIRCam/WLP8,F210M,Transmission Spectroscopy,Photometric,20402.8,0
1,1185,GJ 1214,9.75,GJ 1214 b,0.22,0.18,3101,14.6427,8.41,2.733,567,1.580404531,0.01505,18,NIRSpec/G395H,F290LP,Transmission Spectroscopy,Spectroscopic,16644.3,1
1,1185,GJ 1214,9.75,GJ 1214 b,0.22,0.18,3101,14.6427,8.41,2.733,567,1.580404531,0.01505,19,NIRSpec/G395H,F290LP,Transmission Spectroscopy,Spectroscopic,16644.3,1
1,1188,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,1,NIRSpec/G395H,F290LP,Direct Imaging,Spectroscopic,6710.9,1
1,1188,HR 8799,5.383,HR 8799 c,1.49,1.5,7204.58,41.2441,3000,13,1200,69000,38,1,NIRSpec/G395H,F290LP,Direct Imaging,Spectroscopic,6710.9,0
1,1188,HR 8799,5.383,HR 8799 b,1.49,1.5,7204.58,41.2441,2000,13,1200,170000,68,2,NIRSpec/G395H,F290LP,Direct Imaging,Spectroscopic,6710.9,1
1,1188,HR 8799,5.383,HR 8799 c,1.49,1.5,7204.58,41.2441,3000,13,1200,69000,38,2,NIRSpec/G395H,F290LP,Direct Imaging,Spectroscopic,6710.9,0
1,1188,HR 8799,5.383,HR 8799 c,1.49,1.5,7204.58,41.2441,3000,13,1200,69000,38,4,NIRSpec/G395H,F290LP,Direct Imaging,Spectroscopic,2626.0,1
1,1188,HR 8799,5.383,HR 8799 d,1.49,1.5,7204.58,41.2441,3000,13,1300,37000,24,4,NIRSpec/G395H,F290LP,Direct Imaging,Spectroscopic,2626.0,0
1,1188,HR 8799,5.383,HR 8799 e,1.49,1.51,7400,41.2441,3178,,1150,20815.6,16.4,4,NIRSpec/G395H,F290LP,Direct Imaging,Spectroscopic,2626.0,0
1,1188,HR 8799,5.383,HR 8799 c,1.49,1.5,7204.58,41.2441,3000,13,1200,69000,38,5,NIRSpec/G395H,F290LP,Direct Imaging,Spectroscopic,2626.0,1
1,1188,HR 8799,5.383,HR 8799 d,1.49,1.5,7204.58,41.2441,3000,13,1300,37000,24,5,NIRSpec/G395H,F290LP,Direct Imaging,Spectroscopic,2626.0,0
1,1188,HR 8799,5.383,HR 8799 e,1.49,1.51,7400,41.2441,3178,,1150,20815.6,16.4,5,NIRSpec/G395H,F290LP,Direct Imaging,Spectroscopic,2626.0,0
