#wavelength(microns)	transit_depth	transit_depth_error	wavelength_bin
2.876800000000000246e+00 2.010210958904104679e-03 5.082420731934794115e-05 1.459999999999994635e-02
2.905999999999999694e+00 1.978738013698655776e-03 4.977975688881307808e-05 1.459999999999994635e-02
2.935550000000000104e+00 1.936883682008332108e-03 4.729705658395888410e-05 1.495000000000001883e-02
2.965449999999999697e+00 2.007436371237457905e-03 4.509904630056730575e-05 1.495000000000001883e-02
2.995649999999999924e+00 1.933369262295079639e-03 4.419838982536766401e-05 1.524999999999998579e-02
3.026149999999999896e+00 1.933663554463562048e-03 4.234280243866278071e-05 1.524999999999998579e-02
3.056999999999999940e+00 1.925139743589747692e-03 4.414438318010945099e-05 1.560000000000005826e-02
3.088149999999999729e+00 1.912799839357445927e-03 4.345915183912441563e-05 1.554999999999995275e-02
3.119299999999999962e+00 1.823905212510041479e-03 4.306776842142062987e-05 1.560000000000005826e-02
3.150850000000000151e+00 1.921102745098039527e-03 4.345271340275857645e-05 1.594999999999990870e-02
3.182999999999999829e+00 1.889064946070857917e-03 4.132270258063623565e-05 1.619999999999999218e-02
3.215499999999999581e+00 1.854207834101380273e-03 4.315126683556828348e-05 1.629999999999998117e-02
3.248349999999999849e+00 1.918869358490558332e-03 4.166776006501774588e-05 1.655000000000006466e-02
3.281449999999999978e+00 1.954366792452846315e-03 4.083033894772339763e-05 1.655000000000006466e-02
3.314599999999999991e+00 1.900370889894402058e-03 4.001407319652080505e-05 1.659999999999994813e-02
3.348100000000000076e+00 1.992021286031012313e-03 4.004817134216999202e-05 1.690000000000013713e-02
3.382200000000000095e+00 2.060948366013057049e-03 3.865136919216906423e-05 1.719999999999988205e-02
3.416649999999999743e+00 1.995387599709948744e-03 3.867289815886664156e-05 1.724999999999998757e-02
3.451449999999999907e+00 2.044698004276526357e-03 3.836499274358993040e-05 1.754999999999995453e-02
3.486499999999999932e+00 1.946427817403735116e-03 3.871077655132270322e-05 1.750000000000007105e-02
3.521900000000000031e+00 1.960995178197090429e-03 3.888847595804723040e-05 1.790000000000002700e-02
3.557649999999999757e+00 1.993791672498258435e-03 3.737402195990216345e-05 1.784999999999992149e-02
3.593700000000000117e+00 2.031372252747274103e-03 3.760738393449643296e-05 1.819999999999999396e-02
3.630099999999999660e+00 1.964462474226812919e-03 3.766624246921758423e-05 1.819999999999999396e-02
3.666799999999999837e+00 2.001900472653625473e-03 3.873464147402151675e-05 1.849999999999996092e-02
3.700800000000000090e+00 1.976726230831307024e-03 4.203372217202974606e-05 1.550000000000006928e-02
3.842750000000000110e+00 1.895098200514148479e-03 3.951817187949500167e-05 1.944999999999996732e-02
3.881650000000000045e+00 1.958982851637774796e-03 4.122751181495014594e-05 1.944999999999996732e-02
3.920900000000000052e+00 1.971795514845241237e-03 4.280415011147417333e-05 1.980000000000003979e-02
3.960799999999999876e+00 2.050335922933460911e-03 4.300236991908212066e-05 2.010000000000000675e-02
4.000999999999999446e+00 1.993534847541949314e-03 4.398965932227702681e-05 2.009999999999978471e-02
4.041549999999999976e+00 2.001299999999964132e-03 4.405594175390063619e-05 2.045000000000030127e-02
4.082699999999999996e+00 1.931379794933695253e-03 4.378706069690654565e-05 2.069999999999971863e-02
4.124150000000000205e+00 1.967171170084394249e-03 4.586568065223598509e-05 2.075000000000004619e-02
4.165899999999999714e+00 2.015970749108235253e-03 4.646974570178141631e-05 2.099999999999990763e-02
4.207950000000000301e+00 1.933580867498549188e-03 4.754945457928951572e-05 2.105000000000023519e-02
4.250350000000000072e+00 1.999686717378574598e-03 4.743586087892319041e-05 2.134999999999998010e-02
4.293350000000000222e+00 1.949911727325253112e-03 5.207208777903736064e-05 2.165000000000016911e-02
4.336999999999999744e+00 1.987727727272738890e-03 5.271330823332765722e-05 2.199999999999979750e-02
4.380950000000000344e+00 1.936225071225067913e-03 5.564130295521148653e-05 2.194999999999991402e-02
4.425200000000000244e+00 1.996801457399047762e-03 5.667251249666094271e-05 2.229999999999998650e-02
4.470050000000000523e+00 1.929434459833774410e-03 5.561111880094676157e-05 2.255000000000029203e-02
4.515200000000000102e+00 1.966873325954618824e-03 5.849613853653223882e-05 2.259999999999973141e-02
4.560649999999999871e+00 1.927993384362999786e-03 6.100332698473603910e-05 2.285000000000003695e-02
4.606700000000000017e+00 1.955217789757387938e-03 6.085063752441653348e-05 2.320000000000010942e-02
4.653399999999999537e+00 1.813004308510657997e-03 6.012789237981100557e-05 2.349999999999985434e-02
4.700699999999999434e+00 1.921287132352929869e-03 6.112429216066295125e-05 2.380000000000004334e-02
4.748250000000000526e+00 1.912731230283950742e-03 6.285740573636617429e-05 2.375000000000015987e-02
4.796100000000000030e+00 1.896586344756044477e-03 6.535211484356015174e-05 2.409999999999978826e-02
4.844549999999999912e+00 2.038077743589760196e-03 6.514534098617585987e-05 2.435000000000009379e-02
4.893600000000000172e+00 1.939101823708234366e-03 6.848655671636650960e-05 2.470000000000016627e-02
4.943250000000000810e+00 1.861900900900904541e-03 6.811364858733184857e-05 2.495000000000002771e-02
4.993500000000000050e+00 1.795219327731108119e-03 7.043757752066187095e-05 2.529999999999965610e-02
5.044349999999999667e+00 1.949880616740149158e-03 7.361499122888500021e-05 2.554999999999996163e-02
5.095399999999999707e+00 1.840022282076447238e-03 7.176679059569915397e-05 2.550000000000007816e-02
5.146749999999999936e+00 1.852724613152804825e-03 1.084077847543706111e-04 2.585000000000015064e-02
