#Table 9 
#LHS 1140 b NIRSpec/G395H 1D Transmission Spectrum (R = 65)


#G395H NRS1			G395H NRS2			
#Wavelength Bin	(R _p/R _s)^2	Delta(R _p/R _s)^2	Wavelength Bin	(R _p/R _s)^2	Delta(R _p/R _s)^2	
#(mum)	(ppm)	(ppm)	(mum)	(ppm)	(ppm)	
2.8799 2.9242	5509.11	38.77	
2.9242 2.9692	5498.85	36.04	
2.9692 3.0148	5443.82	34.16	
3.0148 3.0612	5467.37	34.27	
3.0612 3.1083	5493.88	31.88	
3.1083 3.1561	5481.44	31.34	
3.1561 3.2047	5546.91	31.41	
3.2047 3.2540	5487.67	30.90	
3.2540 3.3041	5491.85	30.05	
3.3041 3.3549	5494.97	29.73	
3.3549 3.4065	5501.71	29.31	
3.4065 3.4589	5483.22	29.12	
3.4589 3.5121	5478.35	29.03	
3.5121 3.5662	5517.34	28.91	
3.5662 3.6210	5451.03	28.41	
3.6210 3.6767	5542.96	28.97	
3.6767 3.7333  5521.20 34.13	
# G395H NRS2
3.8241 3.8829  5492.83 29.44
3.8829 3.9426  5478.97 30.07
3.9426 4.0033  5464.45 31.01
4.0033 4.0649  5505.28 31.96
4.0649 4.1274  5550.53 33.25
4.1274 4.1909  5499.78 34.27
4.1909 4.2554  5437.88 34.99
4.2554 4.3209  5473.49 40.13
4.3209 4.3873  5507.15 38.93
4.3873 4.4548  5569.35 41.51
4.4548 4.5234  5589.28 42.94
4.5234 4.5930  5488.92 44.56
4.5930 4.6636  5503.88 45.66
4.6636 4.7354  5567.58 47.10
4.7354 4.8082  5470.57 48.58
4.8082 4.8822  5462.63 50.78
4.8822 4.9573  5531.78 52.95
4.9573 5.0336  5452.13 55.20	
5.0336 5.1110  5537.30 55.82	
5.1110 5.1896  5442.32 80.72	
